backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),36244344,11,load,0.093522,308,6.18027e-06,0,1
WAH (FastBit),36244344,11,OR,0.006786,0,0,20122661,1
WAH (FastBit),36244344,11,AND,0.002072,0,0,0,1
WAH (FastBit),36244344,11,XOR,0.002056,0,0,20122661,1
WAH (FastBit),36244344,11,multi-OR,0.005808,0,0,36244344,1
WAH (FastBit),36244344,11,OR_op,0.000312,0,0,0,1
WAH (FastBit),36244344,11,AND_op,0.000303,0,0,0,1
WAH (FastBit),36244344,11,XOR_op,0.000302,0,0,0,1
WAH (FastBit),36244344,11,NOT_op,0.000143,0,0,0,1
WAH (FastBit),36244344,11,COMP_op,0.001103,0,0,0,1
